read_order,release_id,organization,model_name,release_date,n_cells,family_rank,source_tier,source_url,source_date,artifact_kind,reported_slugs,coder,flagged_for_review,fetch_status,notes,drop_capable,pair_member,shared_with_prior,prior_release
1,Anthropic | Claude 3 Opus | 2024-02-29,Anthropic,Claude 3 Opus,2024-02-29,4,1,,,,,,,,pending,,0,1,0,
2,Anthropic | Claude Opus 4 | 2025-05-22,Anthropic,Claude Opus 4,2025-05-22,19,2,,,,,,,,pending,,1,1,2,Anthropic | Claude 3 Opus | 2024-02-29
3,Anthropic | Claude Opus 4.1 | 2025-08-05,Anthropic,Claude Opus 4.1,2025-08-05,19,3,,,,,,,,pending,,1,1,13,Anthropic | Claude Opus 4 | 2025-05-22
4,Anthropic | Claude Opus 4.5 | 2025-11-24,Anthropic,Claude Opus 4.5,2025-11-24,27,4,,,,,,,,pending,,1,1,17,Anthropic | Claude Opus 4.1 | 2025-08-05
5,Anthropic | Claude Opus 4.6 | 2026-02-05,Anthropic,Claude Opus 4.6,2026-02-05,25,5,1.0,,2026-02-05,,,,,pending,,1,1,22,Anthropic | Claude Opus 4.5 | 2025-11-24
6,Anthropic | Claude Opus 4.7 | 2026-04-16,Anthropic,Claude Opus 4.7,2026-04-16,23,6,1.0,,2026-04-16,,,,,pending,,1,1,19,Anthropic | Claude Opus 4.6 | 2026-02-05
7,Anthropic | Claude Opus 4.8 | 2026-05-28,Anthropic,Claude Opus 4.8,2026-05-28,24,7,,,,,,,,pending,,1,1,20,Anthropic | Claude Opus 4.7 | 2026-04-16
8,Anthropic | Claude Opus 5 | 2026-07-24,Anthropic,Claude Opus 5,2026-07-24,16,8,,,,,,,,pending,,1,1,16,Anthropic | Claude Opus 4.8 | 2026-05-28
9,OpenAI | GPT-4 (Jun 2023) | 2023-06-13,OpenAI,GPT-4 (Jun 2023),2023-06-13,5,3,,,,,,,,pending,,0,0,0,
10,OpenAI | GPT-4o | 2024-08-06,OpenAI,GPT-4o,2024-08-06,5,5,,,,,,,,pending,,0,1,0,
11,OpenAI | GPT-4o | 2024-11-20,OpenAI,GPT-4o,2024-11-20,8,6,,,,,,,,pending,,1,1,5,OpenAI | GPT-4o | 2024-08-06
12,OpenAI | GPT-4.5 | 2025-02-27,OpenAI,GPT-4.5,2025-02-27,15,8,,,,,,,,pending,,0,0,0,
13,OpenAI | GPT-4.1 | 2025-04-14,OpenAI,GPT-4.1,2025-04-14,15,10,,,,,,,,pending,,0,1,0,
14,OpenAI | GPT-5 | 2025-08-07,OpenAI,GPT-5,2025-08-07,27,11,,,,,,,,pending,,1,1,15,OpenAI | GPT-4.1 | 2025-04-14
15,OpenAI | GPT-5.1 | 2025-11-13,OpenAI,GPT-5.1,2025-11-13,22,12,,,,,,,,pending,,1,1,19,OpenAI | GPT-5 | 2025-08-07
16,OpenAI | GPT-5.2 | 2025-12-11,OpenAI,GPT-5.2,2025-12-11,25,13,,,,,,,,pending,,1,1,19,OpenAI | GPT-5.1 | 2025-11-13
17,OpenAI | GPT-5.4 | 2026-03-05,OpenAI,GPT-5.4,2026-03-05,25,14,,,,,,,,pending,,1,1,21,OpenAI | GPT-5.2 | 2025-12-11
18,OpenAI | GPT-5.5 | 2026-04-23,OpenAI,GPT-5.5,2026-04-23,25,15,,,,,,,,pending,,1,1,21,OpenAI | GPT-5.4 | 2026-03-05
19,Anthropic | Claude 3.5 Sonnet | 2024-06-20,Anthropic,Claude 3.5 Sonnet,2024-06-20,4,2,,,,,,,,pending,,0,1,0,
20,Anthropic | Claude 3.5 Sonnet (October 2024) | 2024-10-22,Anthropic,Claude 3.5 Sonnet (October 2024),2024-10-22,6,3,,,,,,,,pending,,1,1,4,Anthropic | Claude 3.5 Sonnet | 2024-06-20
