release_id,organization,model_name,release_date,n_cells,family_rank,source_tier,source_url,extra_source_urls,source_date,artifact_kind,reported_slugs,coder,flagged_for_review,notes,fetch_status
Alibaba | Qwen 3.8 Max | 2026-08-02,Alibaba,Qwen 3.8 Max,2026-08-02,6,5,1,https://huggingface.co/Qwen/Qwen3.8-2.4T-A95B/raw/main/README.md,,2026-08-02,hf_model_card,,,,,ok
Anthropic | Claude 3.5 Sonnet (October 2024) | 2024-10-22,Anthropic,Claude 3.5 Sonnet (October 2024),2024-10-22,6,3,1,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,,2024-10-22,model_card,,,,,ok
Anthropic | Claude Sonnet 4 | 2025-05-22,Anthropic,Claude Sonnet 4,2025-05-22,21,5,2,https://www.anthropic.com/news/claude-4,https://www.anthropic.com/claude-4-system-card,2025-05-22,blog_post+system_card,,,,,ok
Anthropic | Claude Opus 4.1 | 2025-08-05,Anthropic,Claude Opus 4.1,2025-08-05,19,3,2,https://www.anthropic.com/news/claude-opus-4-1,https://www-cdn.anthropic.com/9fa30625273bafdf5af82c93719d7ca606485a16.pdf https://www.anthropic.com/_next/image?url=https%3A%2F%2Fwww-cdn.anthropic.com%2Fimages%2F4zrzovbb%2Fwebsite%2Fbde326699c667506c87f74b09a6355961d29eb26-2600x2084.png,2025-08-05,blog_post+system_card,,,,,ok
DeepSeek | DeepSeek-V3 | 2024-12-26,DeepSeek,DeepSeek-V3,2024-12-26,15,2,1,https://huggingface.co/deepseek-ai/DeepSeek-V3/raw/main/README.md,https://arxiv.org/pdf/2412.19437,2024-12-26,hf_model_card,,,,,ok
DeepSeek | DeepSeek V4 Pro 0813 | 2026-08-13,DeepSeek,DeepSeek V4 Pro 0813,2026-08-13,7,2,1,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro-0813/raw/main/README.md,,2026-08-13,hf_model_card,,,,,ok
Google DeepMind | Gemini 2.5 Flash | 2025-06-17,Google DeepMind,Gemini 2.5 Flash,2025-06-17,6,6,1,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Flash-Model-Card.pdf,,2025-09-30,model_card,,,,,ok
Google DeepMind | Gemini 3.1 Pro | 2026-02-19,Google DeepMind,Gemini 3.1 Pro,2026-02-19,26,10,1,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-1-Pro-Model-Card.pdf,,2026-02-19,model_card,,,,,ok
Google DeepMind | Gemini 3.7 Flash | 2026-08-13,Google DeepMind,Gemini 3.7 Flash,2026-08-13,8,11,1,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-7-Flash-Model-Card.pdf,,2026-08-13,model_card,,,,,ok
Meta AI | Muse Spark 1.1 | 2026-07-09,Meta AI,Muse Spark 1.1,2026-07-09,6,2,2,https://ai.meta.com/blog/introducing-muse-spark-meta-model-api/,https://ai.meta.com/static-resource/muse-spark-1-1-evaluation-report,2026-07-09,blog_post,,,,,ok
