read_order,release_id,organization,model_name,release_date,family_id,family_rank,prior_release,drop_capable,pair_member,shared_with_prior,n_cells,source_tier,source_url,notes
1,Anthropic | Claude 3 Opus | 2024-02-29,Anthropic,Claude 3 Opus,2024-02-29,Anthropic / Claude Opus,1,,0,1,0,4,,,
2,Anthropic | Claude Opus 4 | 2025-05-22,Anthropic,Claude Opus 4,2025-05-22,Anthropic / Claude Opus,2,Anthropic | Claude 3 Opus | 2024-02-29,1,1,2,19,,,
3,Anthropic | Claude Opus 4.1 | 2025-08-05,Anthropic,Claude Opus 4.1,2025-08-05,Anthropic / Claude Opus,3,Anthropic | Claude Opus 4 | 2025-05-22,1,1,13,19,,,
4,Anthropic | Claude Opus 4.5 | 2025-11-24,Anthropic,Claude Opus 4.5,2025-11-24,Anthropic / Claude Opus,4,Anthropic | Claude Opus 4.1 | 2025-08-05,1,1,17,27,,,
5,Anthropic | Claude Opus 4.6 | 2026-02-05,Anthropic,Claude Opus 4.6,2026-02-05,Anthropic / Claude Opus,5,Anthropic | Claude Opus 4.5 | 2025-11-24,1,1,22,25,,,
6,Anthropic | Claude Opus 4.7 | 2026-04-16,Anthropic,Claude Opus 4.7,2026-04-16,Anthropic / Claude Opus,6,Anthropic | Claude Opus 4.6 | 2026-02-05,1,1,19,23,,,
7,Anthropic | Claude Opus 4.8 | 2026-05-28,Anthropic,Claude Opus 4.8,2026-05-28,Anthropic / Claude Opus,7,Anthropic | Claude Opus 4.7 | 2026-04-16,1,1,20,24,,,
8,Anthropic | Claude Opus 5 | 2026-07-24,Anthropic,Claude Opus 5,2026-07-24,Anthropic / Claude Opus,8,Anthropic | Claude Opus 4.8 | 2026-05-28,1,1,16,16,,,
9,OpenAI | GPT-4 (Jun 2023) | 2023-06-13,OpenAI,GPT-4 (Jun 2023),2023-06-13,OpenAI / GPT,3,,0,0,0,5,,,
10,OpenAI | GPT-4o | 2024-08-06,OpenAI,GPT-4o,2024-08-06,OpenAI / GPT,5,,0,1,0,5,,,
11,OpenAI | GPT-4o | 2024-11-20,OpenAI,GPT-4o,2024-11-20,OpenAI / GPT,6,OpenAI | GPT-4o | 2024-08-06,1,1,5,8,,,
12,OpenAI | GPT-4.5 | 2025-02-27,OpenAI,GPT-4.5,2025-02-27,OpenAI / GPT,8,,0,0,0,15,,,
13,OpenAI | GPT-4.1 | 2025-04-14,OpenAI,GPT-4.1,2025-04-14,OpenAI / GPT,10,,0,1,0,15,,,
14,OpenAI | GPT-5 | 2025-08-07,OpenAI,GPT-5,2025-08-07,OpenAI / GPT,11,OpenAI | GPT-4.1 | 2025-04-14,1,1,15,27,,,
15,OpenAI | GPT-5.1 | 2025-11-13,OpenAI,GPT-5.1,2025-11-13,OpenAI / GPT,12,OpenAI | GPT-5 | 2025-08-07,1,1,19,22,,,
16,OpenAI | GPT-5.2 | 2025-12-11,OpenAI,GPT-5.2,2025-12-11,OpenAI / GPT,13,OpenAI | GPT-5.1 | 2025-11-13,1,1,19,25,,,
17,OpenAI | GPT-5.4 | 2026-03-05,OpenAI,GPT-5.4,2026-03-05,OpenAI / GPT,14,OpenAI | GPT-5.2 | 2025-12-11,1,1,21,25,,,
18,OpenAI | GPT-5.5 | 2026-04-23,OpenAI,GPT-5.5,2026-04-23,OpenAI / GPT,15,OpenAI | GPT-5.4 | 2026-03-05,1,1,21,25,,,
19,Anthropic | Claude 3.5 Sonnet | 2024-06-20,Anthropic,Claude 3.5 Sonnet,2024-06-20,Anthropic / Claude Sonnet,2,,0,1,0,4,,,
20,Anthropic | Claude 3.5 Sonnet (October 2024) | 2024-10-22,Anthropic,Claude 3.5 Sonnet (October 2024),2024-10-22,Anthropic / Claude Sonnet,3,Anthropic | Claude 3.5 Sonnet | 2024-06-20,1,1,4,6,,,
21,Anthropic | Claude 3.7 Sonnet | 2025-02-24,Anthropic,Claude 3.7 Sonnet,2025-02-24,Anthropic / Claude Sonnet,4,Anthropic | Claude 3.5 Sonnet (October 2024) | 2024-10-22,1,1,4,17,,,
22,Anthropic | Claude Sonnet 4 | 2025-05-22,Anthropic,Claude Sonnet 4,2025-05-22,Anthropic / Claude Sonnet,5,Anthropic | Claude 3.7 Sonnet | 2025-02-24,1,1,15,21,,,
23,Anthropic | Claude Sonnet 4.5 | 2025-09-29,Anthropic,Claude Sonnet 4.5,2025-09-29,Anthropic / Claude Sonnet,6,Anthropic | Claude Sonnet 4 | 2025-05-22,1,1,16,26,,,
24,Anthropic | Claude Sonnet 4.6 | 2026-02-17,Anthropic,Claude Sonnet 4.6,2026-02-17,Anthropic / Claude Sonnet,7,Anthropic | Claude Sonnet 4.5 | 2025-09-29,1,1,16,21,,,
25,Anthropic | Claude Sonnet 5 | 2026-06-30,Anthropic,Claude Sonnet 5,2026-06-30,Anthropic / Claude Sonnet,8,Anthropic | Claude Sonnet 4.6 | 2026-02-17,1,1,12,15,,,
26,Google DeepMind | Gemini 1.5 Pro | 2024-09-24,Google DeepMind,Gemini 1.5 Pro,2024-09-24,Google DeepMind / Gemini Pro,4,,0,0,0,3,,,
27,Google DeepMind | Gemini 2.5 Pro (Mar 2025) | 2025-03-25,Google DeepMind,Gemini 2.5 Pro (Mar 2025),2025-03-25,Google DeepMind / Gemini Pro,6,,0,1,0,14,,,
28,Google DeepMind | Gemini 2.5 Pro (May 2025) | 2025-05-06,Google DeepMind,Gemini 2.5 Pro (May 2025),2025-05-06,Google DeepMind / Gemini Pro,7,Google DeepMind | Gemini 2.5 Pro (Mar 2025) | 2025-03-25,1,1,9,10,,,
29,Google DeepMind | Gemini 2.5 Pro (Jun 2025) | 2025-06-05,Google DeepMind,Gemini 2.5 Pro (Jun 2025),2025-06-05,Google DeepMind / Gemini Pro,8,Google DeepMind | Gemini 2.5 Pro (May 2025) | 2025-05-06,1,1,7,20,,,
30,Google DeepMind | Gemini 3 Pro | 2025-11-18,Google DeepMind,Gemini 3 Pro,2025-11-18,Google DeepMind / Gemini Pro,9,Google DeepMind | Gemini 2.5 Pro (Jun 2025) | 2025-06-05,1,1,16,25,,,
31,Google DeepMind | Gemini 3.1 Pro | 2026-02-19,Google DeepMind,Gemini 3.1 Pro,2026-02-19,Google DeepMind / Gemini Pro,10,Google DeepMind | Gemini 3 Pro | 2025-11-18,1,1,21,26,,,
32,Google DeepMind | Gemini 1.5 Flash | 2024-05-14,Google DeepMind,Gemini 1.5 Flash,2024-05-14,Google DeepMind / Gemini Flash,1,,0,1,0,5,,,
33,Google DeepMind | Gemini 1.5 Flash | 2024-09-24,Google DeepMind,Gemini 1.5 Flash,2024-09-24,Google DeepMind / Gemini Flash,2,Google DeepMind | Gemini 1.5 Flash | 2024-05-14,1,1,3,4,,,
34,Google DeepMind | Gemini 2.0 Flash | 2025-02-05,"Google DeepMind,Google",Gemini 2.0 Flash,2025-02-05,Google DeepMind / Gemini Flash,4,,0,1,0,6,,,
35,Google DeepMind | Gemini 2.5 Flash | 2025-04-17,Google DeepMind,Gemini 2.5 Flash,2025-04-17,Google DeepMind / Gemini Flash,5,Google DeepMind | Gemini 2.0 Flash | 2025-02-05,1,1,2,12,,,
36,Google DeepMind | Gemini 2.5 Flash | 2025-06-17,Google DeepMind,Gemini 2.5 Flash,2025-06-17,Google DeepMind / Gemini Flash,6,Google DeepMind | Gemini 2.5 Flash | 2025-04-17,1,1,1,6,,,
37,Google DeepMind | Gemini 3 Flash | 2025-12-17,Google DeepMind,Gemini 3 Flash,2025-12-17,Google DeepMind / Gemini Flash,8,,0,1,0,20,,,
38,Google DeepMind | Gemini 3.5 Flash | 2026-05-19,Google,Gemini 3.5 Flash,2026-05-19,Google DeepMind / Gemini Flash,9,Google DeepMind | Gemini 3 Flash | 2025-12-17,1,1,15,20,,,
39,Google DeepMind | Gemini 3.6 Flash | 2026-07-21,Google DeepMind,Gemini 3.6 Flash,2026-07-21,Google DeepMind / Gemini Flash,10,Google DeepMind | Gemini 3.5 Flash | 2026-05-19,1,1,13,13,,,
40,Google DeepMind | Gemini 3.7 Flash | 2026-08-13,Google DeepMind,Gemini 3.7 Flash,2026-08-13,Google DeepMind / Gemini Flash,11,Google DeepMind | Gemini 3.6 Flash | 2026-07-21,1,1,8,8,,,
