release_id,benchmark_slug,group,orbit_category,reported,reported_value,source_tier,source_url,source_date,variant_name,prior_model_reported,prior_source_url,coder,flagged_for_review,notes,organization,model_name,release_date,family_id,family_rank,prior_release,prior_model_name,n_benchmarks_scored,independent_score,benchmark_name,benchmark_release_date,reverse_gap
Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,aider_polyglot,eligible,A,1,57.3,1.0,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507/raw/main/README.md,2025-07-25,,,,kevin,1.0,,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Alibaba / Qwen 235B AB,2,,Qwen3-235B-A22B,15,59.6,Aider polyglot,2024-12-21,+aime25|+arena_hard_v2|+bfcl|+csimpleqa|+hmmt25|+ifeval|+livebench_20241125|+livecodebench_v6|+mmlu_pro|+mmlu_redux|+multipl_e|+simpleqa|+supergpqa|+tau_bench|+writingbench|+zebralogic
Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,arc_agi,eligible,A,1,41.8,1.0,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507/raw/main/README.md,2025-07-25,,,,kevin,1.0,,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Alibaba / Qwen 235B AB,2,,Qwen3-235B-A22B,15,0.11,ARC-AGI,2019-11-05,+aime25|+arena_hard_v2|+bfcl|+csimpleqa|+hmmt25|+ifeval|+livebench_20241125|+livecodebench_v6|+mmlu_pro|+mmlu_redux|+multipl_e|+simpleqa|+supergpqa|+tau_bench|+writingbench|+zebralogic
Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,arc_agi_2,eligible,G,0,,1.0,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507/raw/main/README.md,2025-07-25,,,,kevin,1.0,,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Alibaba / Qwen 235B AB,2,,Qwen3-235B-A22B,15,0.0125,ARC-AGI-2,2025-03-24,+aime25|+arena_hard_v2|+bfcl|+csimpleqa|+hmmt25|+ifeval|+livebench_20241125|+livecodebench_v6|+mmlu_pro|+mmlu_redux|+multipl_e|+simpleqa|+supergpqa|+tau_bench|+writingbench|+zebralogic
Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,fictionlivebench,eligible,H,0,,1.0,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507/raw/main/README.md,2025-07-25,,,,kevin,1.0,,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Alibaba / Qwen 235B AB,2,,Qwen3-235B-A22B,15,0.688,Fiction.LiveBench,2025-02-21,+aime25|+arena_hard_v2|+bfcl|+csimpleqa|+hmmt25|+ifeval|+livebench_20241125|+livecodebench_v6|+mmlu_pro|+mmlu_redux|+multipl_e|+simpleqa|+supergpqa|+tau_bench|+writingbench|+zebralogic
Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,frontiermath,eligible,G,0,,1.0,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507/raw/main/README.md,2025-07-25,,,,kevin,1.0,,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Alibaba / Qwen 235B AB,2,,Qwen3-235B-A22B,15,0.0848056537102473,FrontierMath-2025-02-28-Private,2025-02-28,+aime25|+arena_hard_v2|+bfcl|+csimpleqa|+hmmt25|+ifeval|+livebench_20241125|+livecodebench_v6|+mmlu_pro|+mmlu_redux|+multipl_e|+simpleqa|+supergpqa|+tau_bench|+writingbench|+zebralogic
Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,frontiermath_tier_4,eligible,H,0,,1.0,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507/raw/main/README.md,2025-07-25,,,,kevin,1.0,,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Alibaba / Qwen 235B AB,2,,Qwen3-235B-A22B,15,0.0,FrontierMath-Tier-4-2025-07-01-Private,2025-07-01,+aime25|+arena_hard_v2|+bfcl|+csimpleqa|+hmmt25|+ifeval|+livebench_20241125|+livecodebench_v6|+mmlu_pro|+mmlu_redux|+multipl_e|+simpleqa|+supergpqa|+tau_bench|+writingbench|+zebralogic
Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,gpqa_diamond,eligible,A,1,77.5,1.0,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507/raw/main/README.md,2025-07-25,,,,kevin,1.0,,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Alibaba / Qwen 235B AB,2,,Qwen3-235B-A22B,15,0.8005050505050505,GPQA diamond,2023-11-20,+aime25|+arena_hard_v2|+bfcl|+csimpleqa|+hmmt25|+ifeval|+livebench_20241125|+livecodebench_v6|+mmlu_pro|+mmlu_redux|+multipl_e|+simpleqa|+supergpqa|+tau_bench|+writingbench|+zebralogic
Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,lech_mazur_writing,eligible,C,1,87.5,1.0,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507/raw/main/README.md,2025-07-25,Creative Writing v3,,,kevin,1.0,,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Alibaba / Qwen 235B AB,2,,Qwen3-235B-A22B,15,8.24,Lech Mazur Writing,2025-01-31,+aime25|+arena_hard_v2|+bfcl|+csimpleqa|+hmmt25|+ifeval|+livebench_20241125|+livecodebench_v6|+mmlu_pro|+mmlu_redux|+multipl_e|+simpleqa|+supergpqa|+tau_bench|+writingbench|+zebralogic
Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,otis_mock_aime_2024_2025,eligible,H,0,,1.0,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507/raw/main/README.md,2025-07-25,,,,kevin,1.0,,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Alibaba / Qwen 235B AB,2,,Qwen3-235B-A22B,15,0.8666666666666667,OTIS Mock AIME 2024-2025,2024-12-19,+aime25|+arena_hard_v2|+bfcl|+csimpleqa|+hmmt25|+ifeval|+livebench_20241125|+livecodebench_v6|+mmlu_pro|+mmlu_redux|+multipl_e|+simpleqa|+supergpqa|+tau_bench|+writingbench|+zebralogic
Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,scicode,eligible,H,0,,1.0,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507/raw/main/README.md,2025-07-25,,,,kevin,1.0,,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,Alibaba / Qwen 235B AB,2,,Qwen3-235B-A22B,15,0.423611111111111,scicode,2024-07-18,+aime25|+arena_hard_v2|+bfcl|+csimpleqa|+hmmt25|+ifeval|+livebench_20241125|+livecodebench_v6|+mmlu_pro|+mmlu_redux|+multipl_e|+simpleqa|+supergpqa|+tau_bench|+writingbench|+zebralogic
