family_id,release_id,organization,model_name,release_date,family_rank,status,note
01.AI / Yi 34B,01.AI | Yi-34B | 2023-11-02,01.AI,Yi-34B,2023-11-02,1,confirmed,
01.AI / Yi 34B,01.AI | Yi-1.5-34B | 2024-05-13,01.AI,Yi-1.5-34B,2024-05-13,2,confirmed,
01.AI / Yi 6B,01.AI | Yi 6B | 2023-11-02,01.AI,Yi 6B,2023-11-02,1,auto,
01.AI / Yi Large,01.AI | Yi-Large | 2024-05-13,01.AI,Yi-Large,2024-05-13,1,auto,
01.AI / Yi Lightning,01.AI | Yi-Lightning | 2024-12-02,01.AI,Yi-Lightning,2024-12-02,1,auto,
Alibaba / QWQ Plus,Alibaba | QWQ-Plus | 2025-04-08,Alibaba,QWQ-Plus,2025-04-08,1,auto,
Alibaba / QwQ 32B,Alibaba | QwQ-32B | 2024-11-28,Alibaba,QwQ-32B,2024-11-28,1,confirmed,
Alibaba / QwQ 32B,Alibaba | QwQ-32B | 2025-03-05,Alibaba,QwQ-32B,2025-03-05,2,confirmed,
Alibaba / Qwen 110B,Alibaba | Qwen1.5-110B | 2024-04-25,Alibaba,Qwen1.5-110B,2024-04-25,1,auto,
Alibaba / Qwen 14B,Alibaba | Qwen-14B | 2023-09-24,Alibaba,Qwen-14B,2023-09-24,1,confirmed,
Alibaba / Qwen 14B,Alibaba | Qwen1.5-14B | 2024-02-04,Alibaba,Qwen1.5-14B,2024-02-04,2,confirmed,
Alibaba / Qwen 14B,Alibaba | Qwen2.5-14B | 2025-02-26,Alibaba,Qwen2.5-14B,2025-02-26,3,confirmed,
Alibaba / Qwen 235B AB,Alibaba | Qwen3-235B-A22B | 2025-04-29,Alibaba,Qwen3-235B-A22B,2025-04-29,1,confirmed,cosmetic: 'A22B' mangled to 'AB' by the version stripper; membership is correct
Alibaba / Qwen 235B AB,Alibaba | Qwen3-235B-A22B (Jul 2025) | 2025-07-25,Alibaba,Qwen3-235B-A22B (Jul 2025),2025-07-25,2,confirmed,cosmetic: 'A22B' mangled to 'AB' by the version stripper; membership is correct
Alibaba / Qwen 27B,Alibaba | Qwen3.5-27B | 2026-02-24,Alibaba,Qwen3.5-27B,2026-02-24,1,confirmed,
Alibaba / Qwen 27B,Alibaba | Qwen3.6 27B | 2026-04-22,Alibaba,Qwen3.6 27B,2026-04-22,2,confirmed,
Alibaba / Qwen 30B AB,Alibaba | Qwen3-30B-A3B | 2025-04-29,Alibaba,Qwen3-30B-A3B,2025-04-29,1,auto,
Alibaba / Qwen 32B,Alibaba | Qwen1.5-32B | 2024-02-04,Alibaba,Qwen1.5-32B,2024-02-04,1,confirmed,
Alibaba / Qwen 32B,Alibaba | Qwen1.5-32B | 2024-04-03,Alibaba,Qwen1.5-32B,2024-04-03,2,confirmed,
Alibaba / Qwen 32B,Alibaba | Qwen2.5-32B | 2024-09-17,Alibaba,Qwen2.5-32B,2024-09-17,3,confirmed,
Alibaba / Qwen 32B,Alibaba | Qwen3-32B | 2025-04-29,Alibaba,Qwen3-32B,2025-04-29,4,confirmed,
Alibaba / Qwen 35B AB,Alibaba | Qwen 3.6 35B-A3B | 2026-04-14,Alibaba,Qwen 3.6 35B-A3B,2026-04-14,1,auto,
Alibaba / Qwen 397B AB,Alibaba | Qwen3.5 397B-A17B | 2026-02-13,Alibaba,Qwen3.5 397B-A17B,2026-02-13,1,auto,
Alibaba / Qwen 72B,Alibaba | Qwen1.5-72B | 2024-02-04,Alibaba,Qwen1.5-72B,2024-02-04,1,confirmed,
Alibaba / Qwen 72B,Alibaba | Qwen2-72B | 2024-06-07,Alibaba,Qwen2-72B,2024-06-07,2,confirmed,
Alibaba / Qwen 72B,Alibaba | Qwen2.5-72B | 2024-09-19,Alibaba,Qwen2.5-72B,2024-09-19,3,confirmed,
Alibaba / Qwen 7B,Alibaba | Qwen-7B | 2023-09-28,Alibaba,Qwen-7B,2023-09-28,1,confirmed,
Alibaba / Qwen 7B,Alibaba | Qwen1.5-7B | 2024-02-04,Alibaba,Qwen1.5-7B,2024-02-04,2,confirmed,
Alibaba / Qwen 7B,Alibaba | Qwen2.5-7B | 2025-02-26,Alibaba,Qwen2.5-7B,2025-02-26,3,confirmed,
Alibaba / Qwen 9B,Alibaba | Qwen3.5-9B | 2026-02-24,Alibaba,Qwen3.5-9B,2026-02-24,1,auto,
Alibaba / Qwen Coder 1.5B,Alibaba | Qwen2.5-Coder (1.5B) | 2024-09-18,Alibaba,Qwen2.5-Coder (1.5B),2024-09-18,1,auto,
Alibaba / Qwen Coder 32B,Alibaba | Qwen2.5-Coder (32B) | 2024-09-18,Alibaba,Qwen2.5-Coder (32B),2024-09-18,1,confirmed,
Alibaba / Qwen Coder 32B,Alibaba | Qwen2.5-Coder (32B) | 2024-11-21,Alibaba,Qwen2.5-Coder (32B),2024-11-21,2,confirmed,
