dropped,mean,n_releases,share_of_releases
(none),12.227102651843131,146,1.0
OpenAI,13.196858548785423,107,0.2671232876712329
Google DeepMind,11.695432785161062,123,0.15753424657534246
Anthropic,13.074420866947193,126,0.136986301369863
Meta AI,12.337277956162914,135,0.07534246575342465
Mistral AI,12.345070009311616,135,0.07534246575342465
Alibaba,11.447019805193024,136,0.0684931506849315
DeepSeek,12.436413130222682,139,0.04794520547945205
xAI,12.126883302075644,141,0.03424657534246575
MiniMax,12.35285742059447,142,0.0273972602739726
Z.ai (Zhipu AI),12.392967927273316,143,0.02054794520547945
Microsoft,12.034098109666418,143,0.02054794520547945
Moonshot,12.041182395987034,143,0.02054794520547945
Amazon,12.069695475340232,144,0.0136986301369863
Nous Research,12.240039526083635,145,0.00684931506849315
01.AI,11.890700205270228,145,0.00684931506849315
Cohere,12.238307396167874,145,0.00684931506849315
Allen Institute for AI,12.228844155957704,145,0.00684931506849315
Microsoft Research,12.196071390476314,145,0.00684931506849315
