spec_id,window_days,min_benchmarks,mean,median,share_positive,p_value,n_releases,n_clusters,share_newer_gap
w91_b1,91,1,8.594656499164286,7.104990100838558,0.6917808219178082,0.0001,146,18,0.14216078961397383
w91_b5,91,5,10.303832481566527,7.964152885829799,0.7457627118644068,0.0003,118,15,0.14220905947813706
w91_b8,91,8,10.607968670772054,7.803824035441682,0.7303370786516854,0.001,89,12,0.13116074054403654
w91_b10,91,10,10.150599951216664,7.335270032336126,0.72,0.0022,75,11,0.13052949551435244
w182_b1,182,1,12.227102651843131,10.691022875489645,0.7808219178082192,0.0001,146,18,0.23818496758833513
w182_b5,182,5,14.731986473527359,14.224553576927057,0.8305084745762712,0.0001,118,15,0.24124190062537493
w182_b8,182,8,14.592173081730893,13.762742906295372,0.8314606741573034,0.0005,89,12,0.23809484100776535
w182_b10,182,10,13.818356842203555,10.421283121426278,0.84,0.0001,75,11,0.23484584663894575
w273_b1,273,1,15.974415779944692,16.41445563657329,0.8356164383561644,0.0001,146,18,0.30490901365869566
w273_b5,273,5,18.88086923748418,18.242393291299265,0.8898305084745762,0.0001,118,15,0.31044375005363045
w273_b8,273,8,18.48916484571544,17.632554187001226,0.898876404494382,0.0005,89,12,0.3111904134948655
w273_b10,273,10,17.45008539467248,16.30294133036849,0.9066666666666666,0.0013,75,11,0.30798077674845303
w365_b1,365,1,18.451006214675402,18.757325036616884,0.8493150684931506,0.0001,146,18,0.3384206943834659
w365_b5,365,5,21.655278289048354,20.960655828157883,0.8983050847457628,0.0001,118,15,0.34537368476355584
w365_b8,365,8,21.058724611325427,19.615165045932,0.898876404494382,0.0005,89,12,0.3519253667231325
w365_b10,365,10,20.10447207440829,18.538477408774785,0.9066666666666666,0.0013,75,11,0.3503175319892509
